,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Rodney,Kelly,,,,1.0,,,1.0,,,,,,,,
Rodney,Lindsey,,,,0.0,,,,,,,,,,,
Sierra,Dan,,,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,
Sierra,Kelly,,,,0.0,,,1.0,,,,,,,,
Sierra,Lindsey,,,,1.0,,,,,,,,,,,
Dan,Kelly,,,,1.0,,,1.0,,,,,,,,
Dan,Lindsey,,,,0.0,,,,,,,,,,,
Kelly,Lindsey,,,,0.0,,,,,,,,,,,
Carolyn,Will,,,,,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Carolyn,Jenn,,,,,1.0,,0.0,0.0,0.0,0.0,,,,,
Carolyn,Hali,,,,,1.0,,0.0,0.0,,,,,,,
Carolyn,Kelly,,,,,1.0,,1.0,,,,,,,,
Will,Shirin,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,,,,
Will,Kelly,,,,,1.0,,1.0,,,,,,,,
Will,Max,,,,,0.0,,,,,,,,,,
Shirin,Jenn,,,,,0.0,,1.0,1.0,0.0,0.0,,,,,
Shirin,Hali,,,,,0.0,,1.0,1.0,,,,,,,
Shirin,Kelly,,,,,0.0,,0.0,,,,,,,,
Jenn,Kelly,,,,,1.0,,0.0,,,,,,,,
Jenn,Max,,,,,0.0,,,,,,,,,,
Hali,Kelly,,,,,1.0,,0.0,,,,,,,,
Hali,Max,,,,,0.0,,,,,,,,,,
Kelly,Max,,,,,0.0,,,,,,,,,,
Mike,Tyler,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,
Mike,Joe,,,,,,1.0,0.0,0.0,0.0,,,,,,
Mike,Joaquin,,,,,,0.0,,,,,,,,,
Rodney,Tyler,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,
Rodney,Joe,,,,,,0.0,0.0,0.0,0.0,,,,,,
Rodney,Joaquin,,,,,,1.0,,,,,,,,,
Sierra,Tyler,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
Sierra,Joe,,,,,,1.0,0.0,0.0,0.0,,,,,,
Sierra,Joaquin,,,,,,0.0,,,,,,,,,
Dan,Tyler,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,
Dan,Joe,,,,,,1.0,0.0,0.0,0.0,,,,,,
Dan,Joaquin,,,,,,0.0,,,,,,,,,
Tyler,Joe,,,,,,0.0,0.0,0.0,1.0,,,,,,
Joe,Joaquin,,,,,,0.0,,,,,,,,,
Mike,Carolyn,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Mike,Will,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mike,Shirin,,,,,,,0.0,0.0,1.0,1.0,1.0,,,,
Mike,Jenn,,,,,,,0.0,0.0,0.0,0.0,,,,,
Mike,Hali,,,,,,,0.0,0.0,,,,,,,
Carolyn,Rodney,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Carolyn,Sierra,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Carolyn,Dan,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,
Carolyn,Joe,,,,,,,0.0,0.0,1.0,,,,,,
Will,Rodney,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Will,Sierra,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Will,Dan,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,
Will,Tyler,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
Rodney,Shirin,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,
Rodney,Jenn,,,,,,,0.0,0.0,0.0,1.0,,,,,
Rodney,Hali,,,,,,,0.0,0.0,,,,,,,
Sierra,Shirin,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,
Sierra,Jenn,,,,,,,0.0,0.0,0.0,1.0,,,,,
Sierra,Hali,,,,,,,0.0,0.0,,,,,,,
Dan,Shirin,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,
Dan,Jenn,,,,,,,0.0,0.0,0.0,1.0,,,,,
Dan,Hali,,,,,,,0.0,0.0,,,,,,,
Tyler,Jenn,,,,,,,0.0,0.0,0.0,0.0,,,,,
Tyler,Hali,,,,,,,0.0,0.0,,,,,,,
Tyler,Kelly,,,,,,,1.0,,,,,,,,
Shirin,Joe,,,,,,,1.0,1.0,0.0,,,,,,
Joe,Kelly,,,,,,,0.0,,,,,,,,
