,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Keith,Reed,,,,1.0,,,,1.0,0.0,1.0,0.0,,,,
Keith,Jeremy,,,,0.0,,,,0.0,0.0,,,,,,
Keith,Julie,,,,0.0,,,,,,,,,,,
Keith,Kelley,,,,0.0,0.0,,,,,,,,,,
Keith,Drew,,,,1.0,,,,,,,,,,,
Jon,Reed,,,,0.0,,,,0.0,1.0,0.0,0.0,,,,
Jon,Jeremy,,,,0.0,,,,1.0,0.0,,,,,,
Jon,Julie,,,,0.0,,,,,,,,,,,
Jon,Kelley,,,,0.0,0.0,,,,,,,,,,
Jon,Drew,,,,0.0,,,,,,,,,,,
Reed,Jeremy,,,,0.0,,,,0.0,0.0,,,,,,
Reed,Julie,,,,0.0,,,,,,,,,,,
Reed,Kelley,,,,0.0,,,,,,,,,,,
Reed,Drew,,,,1.0,,,,,,,,,,,
Jeremy,Julie,,,,1.0,,,,,,,,,,,
Jeremy,Kelley,,,,1.0,,,,,,,,,,,
Jeremy,Drew,,,,0.0,,,,,,,,,,,
Julie,Kelley,,,,1.0,,,,,,,,,,,
Julie,Drew,,,,0.0,,,,,,,,,,,
Kelley,Drew,,,,0.0,,,,,,,,,,,
Jaclyn,Missy,,,,,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Jaclyn,Keith,,,,,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jaclyn,Jon,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
Jaclyn,Kelley,,,,,0.0,,,,,,,,,,
Missy,Baylor,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Missy,Dale,,,,,0.0,0.0,,,,,,,,,
Keith,Baylor,,,,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
Keith,Dale,,,,,0.0,0.0,,,,,,,,,
Baylor,Jon,,,,,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,
Baylor,Kelley,,,,,0.0,,,,,,,,,,
Jon,Dale,,,,,0.0,0.0,,,,,,,,,
Dale,Kelley,,,,,1.0,,,,,,,,,,
Natalie,Jaclyn,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Natalie,Baylor,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,
Natalie,Alec,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,
Natalie,Wes,,,,,,,,0.0,0.0,0.0,,,,,
Natalie,Josh,,,,,,,,0.0,,,,,,,
Jaclyn,Reed,,,,,,,,0.0,1.0,0.0,0.0,,,,
Jaclyn,Jeremy,,,,,,,,1.0,0.0,,,,,,
Missy,Alec,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,
Missy,Wes,,,,,,,,0.0,0.0,0.0,,,,,
Missy,Josh,,,,,,,,0.0,,,,,,,
Keith,Alec,,,,,,,,1.0,1.0,1.0,1.0,0.0,,,
Keith,Wes,,,,,,,,1.0,1.0,1.0,,,,,
Keith,Josh,,,,,,,,1.0,,,,,,,
Baylor,Reed,,,,,,,,0.0,1.0,0.0,0.0,,,,
Baylor,Jeremy,,,,,,,,1.0,0.0,,,,,,
Jon,Alec,,,,,,,,0.0,0.0,0.0,1.0,1.0,,,
Jon,Wes,,,,,,,,0.0,0.0,0.0,,,,,
Jon,Josh,,,,,,,,0.0,,,,,,,
Alec,Reed,,,,,,,,1.0,0.0,1.0,0.0,,,,
Alec,Jeremy,,,,,,,,0.0,0.0,,,,,,
Reed,Wes,,,,,,,,1.0,0.0,1.0,,,,,
Reed,Josh,,,,,,,,1.0,,,,,,,
Wes,Jeremy,,,,,,,,0.0,0.0,,,,,,
Jeremy,Josh,,,,,,,,0.0,,,,,,,
