,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Katie,Gregg,,,,,,,1.0,,,,,1.0,,1.0,0.0,,,
Katie,Janu,,,,,,,1.0,,,,,0.0,,,,,,
Katie,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Katie,Willard,,,,,,,0.0,,,,,,,,,,,
Ian,Jenn,,,,,,,1.0,,,,,1.0,,1.0,0.0,1.0,,
Ian,Caryn,,,,,,,1.0,,,,,1.0,,1.0,1.0,0.0,,
Ian,Gregg,,,,,,,1.0,,,,,1.0,,1.0,0.0,,,
Ian,Janu,,,,,,,1.0,,,,,0.0,,,,,,
Ian,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Ian,Willard,,,,,,,0.0,,,,,,,,,,,
Jenn,Caryn,,,,,,,1.0,,,,,1.0,,1.0,0.0,0.0,,
Jenn,Gregg,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,
Jenn,Janu,,,,,,,1.0,,,,,0.0,,,,,,
Jenn,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Jenn,Willard,,,,,,,0.0,,,,,,,,,,,
Caryn,Gregg,,,,,,,1.0,,,,,1.0,,1.0,0.0,,,
Caryn,Janu,,,,,,,1.0,,,,,0.0,,,,,,
Caryn,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Caryn,Willard,,,,,,,0.0,,,,,,,,,,,
Gregg,Janu,,,,,,,1.0,,,,,0.0,,,,,,
Gregg,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Gregg,Willard,,,,,,,0.0,,,,,,,,,,,
Janu,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Janu,Willard,,,,,,,0.0,,,,,,,,,,,
Coby,Willard,,,,,,,0.0,,,,,,,,,,,
Tom,Stephenie,,,,,,,,,,,,1.0,,0.0,,,,
Katie,Stephenie,,,,,,,,,,,,1.0,,0.0,,,,
Ian,Stephenie,,,,,,,,,,,,1.0,,0.0,,,,
Jenn,Stephenie,,,,,,,,,,,,1.0,,0.0,,,,
Caryn,Stephenie,,,,,,,,,,,,1.0,,0.0,,,,
Gregg,Stephenie,,,,,,,,,,,,1.0,,0.0,,,,
Stephenie,Janu,,,,,,,,,,,,0.0,,,,,,
Stephenie,Coby,,,,,,,,,,,,0.0,,,,,,
