,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Dreamz,Boo,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,0.0,
Dreamz,Stacy,,,,,1.0,,,,,1.0,1.0,0.0,1.0,1.0,,
Dreamz,Alex,,,,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,
Dreamz,Edgardo,,,,,1.0,,1.0,1.0,1.0,,0.0,,,,,
Dreamz,Lisi,,,,,1.0,,,1.0,0.0,,,,,,,
Dreamz,Liliana,,,,,0.0,,,,,,,,,,,
Boo,Stacy,,,,,1.0,,,,,,1.0,0.0,1.0,1.0,,
Boo,Alex,,,,,1.0,,,,,,0.0,1.0,0.0,,,
Boo,Edgardo,,,,,1.0,,,,,,0.0,,,,,
Boo,Lisi,,,,,1.0,,,,,,,,,,,
Boo,Liliana,,,,,0.0,,,,,,,,,,,
Stacy,Alex,,,,,1.0,,,,,1.0,0.0,0.0,0.0,,,
Stacy,Edgardo,,,,,1.0,,,,,,0.0,,,,,
Stacy,Lisi,,,,,1.0,,,,,,,,,,,
Stacy,Liliana,,,,,0.0,,,,,,,,,,,
Alex,Edgardo,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,
Alex,Lisi,,,,,1.0,,,1.0,0.0,,,,,,,
Alex,Liliana,,,,,0.0,,,,,,,,,,,
Edgardo,Lisi,,,,,1.0,,,1.0,0.0,,,,,,,
Edgardo,Liliana,,,,,0.0,,,,,,,,,,,
Lisi,Liliana,,,,,0.0,,,,,,,,,,,
Dreamz,Mookie,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,
Dreamz,Rocky,,,,,,,1.0,0.0,,,,,,,,
Dreamz,Anthony,,,,,,,0.0,,,,,,,,,
Alex,Mookie,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,,,,
Alex,Rocky,,,,,,,1.0,0.0,,,,,,,,
Alex,Anthony,,,,,,,0.0,,,,,,,,,
Mookie,Edgardo,,,,,,,1.0,0.0,1.0,,1.0,,,,,
Edgardo,Rocky,,,,,,,1.0,0.0,,,,,,,,
Edgardo,Anthony,,,,,,,0.0,,,,,,,,,
Mookie,Lisi,,,,,,,,0.0,0.0,,,,,,,
Lisi,Rocky,,,,,,,,0.0,,,,,,,,
Dreamz,Michelle,,,,,,,,,,0.0,,,,,,
Stacy,Mookie,,,,,,,,,,0.0,0.0,1.0,,,,
Stacy,Michelle,,,,,,,,,,0.0,,,,,,
Alex,Michelle,,,,,,,,,,0.0,,,,,,
Earl,Cassandra,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0
Earl,Dreamz,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0
Earl,Boo,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,
Earl,Stacy,,,,,,,,,,,1.0,1.0,1.0,0.0,,
Earl,Alex,,,,,,,,,,,0.0,0.0,0.0,,,
Earl,Edgardo,,,,,,,,,,,0.0,,,,,
Cassandra,Yau-Man,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0
Cassandra,Mookie,,,,,,,,,,,0.0,0.0,,,,
Dreamz,Yau-Man,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0
Yau-Man,Boo,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,
Yau-Man,Stacy,,,,,,,,,,,1.0,1.0,1.0,0.0,,
Yau-Man,Alex,,,,,,,,,,,0.0,0.0,0.0,,,
Yau-Man,Edgardo,,,,,,,,,,,0.0,,,,,
Boo,Mookie,,,,,,,,,,,0.0,0.0,,,,
