,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ken,Jacquie,,,,0.0,,,,,,,,,,,
Crystal,Ace,,,,0.0,1.0,1.0,0.0,,,,,,,,
Crystal,Kelly,,,,1.0,1.0,0.0,,,,,,,,,
Crystal,Jacquie,,,,0.0,,,,,,,,,,,
Ace,GC,,,,0.0,0.0,,,,,,,,,,
Kelly,GC,,,,1.0,0.0,,,,,,,,,,
GC,Jacquie,,,,0.0,,,,,,,,,,,
Sugar,Matty,,,,,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0
Sugar,Ken,,,,,1.0,1.0,1.0,,,1.0,1.0,0.0,0.0,0.0,
Sugar,Crystal,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,,
Sugar,GC,,,,,0.0,,,,,,,,,,
Bob,Susie,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Bob,Randy,,,,,,,,0.0,,1.0,1.0,,,,
Bob,Dan,,,,,,,,0.0,,,,,,,
Susie,Corinne,,,,,,,,1.0,,0.0,0.0,0.0,,,
Susie,Charlie,,,,,,,,1.0,,0.0,,,,,
Susie,Marcus,,,,,,,,0.0,0.0,,,,,,
Corinne,Randy,,,,,,,,0.0,,1.0,1.0,,,,
Corinne,Dan,,,,,,,,0.0,,,,,,,
Randy,Charlie,,,,,,,,0.0,,1.0,,,,,
Randy,Marcus,,,,,,,,1.0,,,,,,,
Charlie,Dan,,,,,,,,0.0,,,,,,,
Marcus,Dan,,,,,,,,1.0,,,,,,,
Bob,Ken,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,
Bob,Crystal,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Ken,Marcus,,,,,,,,,0.0,,,,,,
Crystal,Marcus,,,,,,,,,0.0,,,,,,
Bob,Matty,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0
Susie,Sugar,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0
Sugar,Randy,,,,,,,,,,0.0,0.0,,,,
Matty,Corinne,,,,,,,,,,0.0,0.0,0.0,,,
Matty,Charlie,,,,,,,,,,0.0,,,,,
Ken,Corinne,,,,,,,,,,0.0,0.0,1.0,,,
Ken,Charlie,,,,,,,,,,0.0,,,,,
Crystal,Corinne,,,,,,,,,,0.0,0.0,0.0,,,
Crystal,Charlie,,,,,,,,,,0.0,,,,,
